Frame,Lane 1,Lane 2,Lane 3
1,0,0,0
2,0,0,0
3,0,0,0
4,0,1,0
5,0,1,0
6,0,1,0
7,0,1,0
8,1,1,0
9,1,1,0
10,1,1,0
11,1,1,0
12,1,1,0
13,1,1,0
14,1,1,0
15,1,1,0
16,1,1,0
17,1,1,0
18,1,1,0
19,1,1,0
20,1,1,0
21,1,1,0
22,1,1,0
23,1,1,0
24,1,1,0
25,1,1,0
26,1,1,0
27,1,1,0
28,1,1,0
29,1,1,0
30,1,1,0
31,1,1,0
32,1,1,0
33,1,1,0
34,1,1,0
35,1,1,0
36,1,1,0
37,2,1,0
38,2,1,0
39,2,1,0
40,2,1,0
41,2,1,0
42,2,1,0
43,2,1,0
44,2,1,0
45,2,1,0
46,2,1,0
47,2,1,0
48,2,1,0
49,2,1,0
50,2,1,0
51,2,1,0
52,2,1,0
53,2,1,0
54,2,1,0
55,2,1,0
56,2,1,0
57,2,1,0
58,3,1,0
59,3,1,0
60,3,1,0
61,3,1,0
62,3,1,1
63,3,1,1
64,3,1,1
65,3,1,1
66,3,1,1
67,3,1,1
68,3,1,1
69,3,1,1
70,3,1,1
71,3,1,1
72,3,1,1
73,3,1,1
74,3,1,1
75,3,1,1
76,3,1,1
77,3,2,1
78,3,2,1
79,3,2,1
80,3,2,1
81,3,2,1
82,3,2,1
83,3,2,1
84,3,2,1
85,3,2,1
86,3,2,2
87,3,2,2
88,3,2,2
89,3,2,2
90,3,2,2
91,3,2,2
92,3,2,2
